Airline_Name,Airport_Name,Average_Delay
"Alaska Airlines Inc.: AS","Nashville, TN: Nashville International",35.839285714285715
"Allegiant Air: G4","Great Falls, MT: Great Falls International",100.47619047619048
"American Airlines Inc.: AA","Jackson, WY: Jackson Hole",52.37837837837838
"Delta Air Lines Inc.: DL","Fargo, ND: Hector International",72.16
"Endeavor Air Inc.: 9E","Gulfport/Biloxi, MS: Gulfport-Biloxi International",41.92929292929293
"Envoy Air: MQ","Lubbock, TX: Lubbock Preston Smith International",59.5
"ExpressJet Airlines LLC: EV","Fargo, ND: Hector International",188
"Frontier Airlines Inc.: F9","Burlington, VT: Burlington International",61.833333333333336
"Hawaiian Airlines Inc.: HA","New York, NY: John F. Kennedy International",57
"JetBlue Airways: B6","Dallas/Fort Worth, TX: Dallas/Fort Worth International",54.10126582278481
"Mesa Airlines Inc.: YV","Bozeman, MT: Bozeman Yellowstone International",70.42105263157895
"PSA Airlines Inc.: OH","Grand Rapids, MI: Gerald R. Ford International",29.497487437185928
"Republic Airline: YX","Fargo, ND: Hector International",108.21428571428571
"SkyWest Airlines Inc.: OO","North Bend/Coos Bay, OR: Southwest Oregon Regional",89.75
"Southwest Airlines Co.: WN","Orlando, FL: Orlando International",20.286330049261085
"Spirit Air Lines: NK","Phoenix, AZ: Phoenix Sky Harbor International",30.4875
"United Air Lines Inc.: UA","Aguadilla, PR: Rafael Hernandez",43.785714285714285
