FlightDate,Flights_Today,Avg_Flights_Last_3_Days
2019-02-01,22537,22537.0000
2019-02-02,17047,19792.0000
2019-02-03,19255,19613.0000
2019-02-04,22522,19608.0000
2019-02-05,20866,20881.0000
2019-02-06,21452,21613.3333
2019-02-07,22461,21593.0000
2019-02-08,22598,22170.3333
2019-02-09,17389,20816.0000
2019-02-10,21045,20344.0000
2019-02-11,22479,20304.3333
2019-02-12,20627,21383.6667
2019-02-13,21662,21589.3333
2019-02-14,23028,21772.3333
2019-02-15,23192,22627.3333
2019-02-16,18190,21470.0000
2019-02-17,20234,20538.6667
2019-02-18,22865,20429.6667
2019-02-19,22271,21790.0000
2019-02-20,22279,22471.6667
2019-02-21,22996,22515.3333
2019-02-22,23115,22796.6667
2019-02-23,18506,21539.0000
2019-02-24,21601,21074.0000
2019-02-25,22951,21019.3333
2019-02-26,22330,22294.0000
2019-02-27,21606,22295.6667
2019-02-28,23186,22374.0000
